% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 195.7 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Ramp, 50.000 000 Hz, 3.200 0 Vpp, offset 1.600 0 V, phase 0.000 000 deg, symmetry 50.00 %
% Output 2 - Sine, 100.000 000 000 kHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2022-10-07 T 13:32:32 +0200
% Diode
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-9.784272800000e-02, 2.979971e-01, 9.489497e-01
-9.765085600000e-02, 2.906693e-01, 9.391793e-01
-9.745898400000e-02, 2.784563e-01, 9.269663e-01
-9.726711200000e-02, 2.699072e-01, 9.147533e-01
-9.707524000000e-02, 2.613581e-01, 9.025403e-01
-9.688336800000e-02, 2.503664e-01, 8.927699e-01
-9.669149600000e-02, 2.418173e-01, 8.805570e-01
-9.649962400000e-02, 2.320469e-01, 8.683440e-01
-9.630775200000e-02, 2.234978e-01, 8.585736e-01
-9.611588000000e-02, 2.125061e-01, 8.451393e-01
-9.592400800000e-02, 2.039570e-01, 8.353689e-01
-9.573213600000e-02, 1.941866e-01, 8.231559e-01
-9.554026400000e-02, 1.819736e-01, 8.085003e-01
-9.534839200000e-02, 1.746458e-01, 7.987299e-01
-9.515652000000e-02, 1.636541e-01, 7.865169e-01
-9.496464800000e-02, 1.563263e-01, 7.730826e-01
-9.477277600000e-02, 1.465559e-01, 7.608696e-01
-9.458090400000e-02, 1.392281e-01, 7.474353e-01
-9.438903200000e-02, 1.306790e-01, 7.352223e-01
-9.419716000000e-02, 1.196874e-01, 7.230093e-01
-9.400528800000e-02, 1.111383e-01, 7.095750e-01
-9.381341600000e-02, 1.025892e-01, 6.949194e-01
-9.362154400000e-02, 9.404006e-02, 6.827064e-01
-9.342967200000e-02, 8.182707e-02, 6.680508e-01
-9.323780000000e-02, 7.327797e-02, 6.546165e-01
-9.304592800000e-02, 6.350758e-02, 6.399609e-01
-9.285405600000e-02, 5.617978e-02, 6.228628e-01
